(2019, 12, 2, 11, 10, 0, 399361, None) : temp = 24.27 ; humid = 46.08 ; press = 1028.60
(2019, 12, 2, 11, 10, 0, 473866, None) : temp = 24.27 ; humid = 46.08 ; press = 1028.60
(2019, 12, 2, 11, 10, 0, 524726, None) : temp = 24.27 ; humid = 46.08 ; press = 1028.60
(2019, 12, 2, 11, 10, 0, 577950, None) : temp = 24.32 ; humid = 46.03 ; press = 1028.66
(2019, 12, 2, 11, 10, 0, 628785, None) : temp = 24.32 ; humid = 46.03 ; press = 1028.66
(2019, 12, 2, 11, 10, 0, 678012, None) : temp = 24.32 ; humid = 46.03 ; press = 1028.66
(2019, 12, 2, 11, 10, 0, 727879, None) : temp = 24.32 ; humid = 46.03 ; press = 1028.66
(2019, 12, 2, 11, 10, 0, 774153, None) : temp = 24.32 ; humid = 46.03 ; press = 1028.66
(2019, 12, 2, 11, 10, 0, 820765, None) : temp = 24.37 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 0, 868758, None) : temp = 24.37 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 0, 919939, None) : temp = 24.37 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 0, 968817, None) : temp = 24.37 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 1, 31977, None) : temp = 24.41 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 1, 80911, None) : temp = 24.41 ; humid = 46.11 ; press = 1028.70
(2019, 12, 2, 11, 10, 1, 110998, None) : temp = 24.41 ; humid = 45.63 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 159926, None) : temp = 24.41 ; humid = 45.63 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 207881, None) : temp = 24.41 ; humid = 45.63 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 254845, None) : temp = 24.43 ; humid = 45.18 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 304142, None) : temp = 24.43 ; humid = 45.18 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 349800, None) : temp = 24.43 ; humid = 45.18 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 395972, None) : temp = 24.43 ; humid = 45.18 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 441944, None) : temp = 24.44 ; humid = 44.91 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 489257, None) : temp = 24.44 ; humid = 44.91 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 532833, None) : temp = 24.44 ; humid = 44.91 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 581893, None) : temp = 24.44 ; humid = 44.91 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 628979, None) : temp = 24.44 ; humid = 44.91 ; press = 1028.73
(2019, 12, 2, 11, 10, 1, 675870, None) : temp = 24.45 ; humid = 44.41 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 725225, None) : temp = 24.45 ; humid = 44.41 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 774871, None) : temp = 24.45 ; humid = 44.41 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 824142, None) : temp = 24.45 ; humid = 44.41 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 874858, None) : temp = 24.46 ; humid = 44.13 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 924692, None) : temp = 24.46 ; humid = 44.13 ; press = 1028.74
(2019, 12, 2, 11, 10, 1, 974815, None) : temp = 24.46 ; humid = 44.13 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 24991, None) : temp = 24.46 ; humid = 44.13 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 74946, None) : temp = 24.46 ; humid = 43.93 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 125844, None) : temp = 24.46 ; humid = 43.93 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 176994, None) : temp = 24.46 ; humid = 43.93 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 225926, None) : temp = 24.46 ; humid = 43.93 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 274784, None) : temp = 24.46 ; humid = 43.93 ; press = 1028.72
